SCAFFOLD,AMOUNT,FREQUENCY,SCA_MOL,ID_SCAFFOLD,DATABASE
O=C(CCCCc1ccccc1)CCc1ccccc1,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef140>,U995L,UNPD-A
O=C1CCCc2cc3ccccc3cc21,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef1b0>,HEBV6,UNPD-A
C=C1C(=O)OC2CCC3CCCC3CC12,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef220>,HOR98,UNPD-A
C1CCC2(CC3C(CC4C3CCC3C5CCCCC5CCC34)O2)OC1,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef290>,PFK7X,UNPD-A
C1=C2C3CCCC3CCC2C2CCCCC2C1,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef300>,G6AK7,UNPD-A
O=C1CCC2C(CCC3C2CCC2C4CCCC4CCC23)C1,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef370>,ELNNJ,UNPD-A
O=C(Nc1ccccc1)c1ccccc1,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef3e0>,L44J8,UNPD-A
O=C1CC2=C(CCC3CCCC23)C2CCCCC12,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef450>,931JW,UNPD-A
c1ccc2c(c1)OC1c3ccccc3OCC21,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef4c0>,1T6ZZ,UNPD-A
O=C1Cc2ccccc2OC1c1ccccc1,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef530>,YQN4E,UNPD-A
O=C1C=CC(=O)c2cc3ccccc3cc21,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef5a0>,6O0DN,UNPD-A
O=C1C=CC(=O)C=C1,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef610>,JYO8M,UNPD-A
C1=CC2CCCC2C(OC2CCCCO2)O1,9,0.060024009603841535,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef680>,N91Y7,UNPD-A
C1CCC(OC2CCOCC2)OC1,8,0.05335467520341469,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef6f0>,EVEHP,UNPD-A
C=C1C(=O)OC2C1CCC(=C)C1CCC(=C)C12,8,0.05335467520341469,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef760>,2X7BS,UNPD-A
C1CCC2C3=C(CCC2C1)C1CCCC1CC3,8,0.05335467520341469,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef7d0>,5RRF8,UNPD-A
C1=C2CC(OC3CCC(OC4CCC(OC5CCC(OC6CCCCO6)CO5)CO4)CO3)CCC2C2CCC3CCCC3C2C1,8,0.05335467520341469,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef840>,UW8O8,UNPD-A
C1=Cc2cccc(c2)-c2cccc(c2)CCc2ccccc2-c2ccc1cc2,8,0.05335467520341469,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef8b0>,QPRG7,UNPD-A
C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,8,0.05335467520341469,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef920>,SW5ZW,UNPD-A
C1C2CC3C1C3C2,8,0.05335467520341469,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bef990>,PAA81,UNPD-A
C=C1C(=O)OC2C1CCC=CCCC1OC12,8,0.05335467520341469,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4befa00>,QKD3W,UNPD-A
C=C1CCC2CC3CCCC3C12,8,0.05335467520341469,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4befa70>,QBY0K,UNPD-A
c1ccc2c(c1)ccc1c(-c3cccc4c3ccc3ccccc34)cccc12,8,0.05335467520341469,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4befae0>,EIHYP,UNPD-A
O=C(C=Cc1ccccc1)OC1CCCCC1,8,0.05335467520341469,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4befb50>,EG3MB,UNPD-A
O=C(OCC1CCCC(Oc2ccccc2)O1)c1ccccc1,8,0.05335467520341469,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4befbc0>,1A5TO,UNPD-A
O=c1ccc2nccc3c4ccccc4n1c23,8,0.05335467520341469,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4befc30>,W6BGR,UNPD-A
c1ccc2c(-c3c[nH]c4ccccc34)c[nH]c2c1,8,0.05335467520341469,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4befca0>,Z5KUG,UNPD-A
c1ccc2cnccc2c1,8,0.05335467520341469,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4befd10>,IHLPU,UNPD-A
O=C1C=Cc2cc3ccccc3cc2C1=O,8,0.05335467520341469,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4befd80>,B021T,UNPD-A
O=c1ccc2ccc3c(c2o1)CCCO3,8,0.05335467520341469,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4befdf0>,GOWU8,UNPD-A
c1ccc2c(c1)CCCCc1ccccc1-2,7,0.04668534080298786,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4befe60>,H8DUE,UNPD-A
O=c1cc(-c2ccccc2)oc2c(C3CCCCO3)cccc12,7,0.04668534080298786,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4befed0>,SUZ2H,UNPD-A
C1=C2C(CCC3C2CCC2CCCCC23)C2CCCCC2C1,7,0.04668534080298786,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beff40>,UFNJI,UNPD-A
c1ccc(C2CO2)cc1,7,0.04668534080298786,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bf0040>,61NA6,UNPD-A
O=c1oc2ccccc2c2oc3ccccc3c12,7,0.04668534080298786,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bf00b0>,25E44,UNPD-A
c1ccc2cccc-2cc1,7,0.04668534080298786,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bf0120>,G8M70,UNPD-A
c1ccc(OC2CCCC(COC3CCCCO3)O2)cc1,7,0.04668534080298786,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bf0190>,VYR6I,UNPD-A
c1ccc2c(c1)CCCO2,7,0.04668534080298786,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bf0200>,U88UD,UNPD-A
