SCAFFOLD,AMOUNT,FREQUENCY,SCA_MOL,ID_SCAFFOLD,DATABASE
O=C1c2ccccc2C(=O)C1c1ccccc1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c970>,Y2Y1W,FDA
C(=Cc1ccccc1)c1ccccc1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2c9e0>,U8P67,FDA
C1=CC2C3Cc4cccc5c4C2(CCN3)C(C1)O5,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2ca50>,UYEWU,FDA
O=C1C=CCCCC(=O)CCCC=CC=CC=CCCC2CCCC(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(CCC2CCCCC2)C1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2cac0>,XO6W1,FDA
C1=CC2c3cccc4[nH]cc(c34)CC2NC1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2cb30>,F75QB,FDA
c1ccoc1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2cba0>,ICQ1E,FDA
C1CC2OCCC2O1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2cc10>,LSFB0,FDA
O=c1cc[nH]cc1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2cc80>,YO6GG,FDA
O=c1ccc2c(-c3ccccc3)c3ccccc3oc-2c1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2ccf0>,IJTHZ,FDA
c1ccc(CCCCCC2CCCC2)cc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2cd60>,EHMRN,FDA
O=C1CCC(c2ccccc2)C(=O)N1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2cdd0>,EYPCX,FDA
c1ccc(CN2CCc3sccc3C2)cc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2ce40>,509AO,FDA
c1ccc(C2CCCC2)cc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2ceb0>,2VJHO,FDA
c1ccc(CN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2cf20>,6GQKR,FDA
N=c1nc[nH]cc1C[n+]1ccsc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2cf90>,1TFHK,FDA
N=c1ncn(C2CCCO2)c(=O)[nH]1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d000>,UY19H,FDA
O=C1CCC2=C(CCC3=C2C(c2ccccc2)CC2CCCC32)C1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d070>,91DP3,FDA
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d0e0>,2SB4N,FDA
O=C1CC2CC(SC3CCNC3)=CN12,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d150>,PASN8,FDA
c1ccc(CCCCN2CCC(C(c3ccccc3)c3ccccc3)CC2)cc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d1c0>,5B3N6,FDA
O=C(CCCN1CCC(c2ccccc2)CC1)c1ccccc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d230>,SZCSK,FDA
c1ccc(C2CNCCO2)cc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d2a0>,7DI8J,FDA
c1ccc(CCCCNCCc2ccccc2)cc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d310>,GREL1,FDA
c1ccc(CNC2CCCCC2)cc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d380>,XPWLP,FDA
O=C1CC2CCC1C2,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d3f0>,4J9D0,FDA
O=C1c2ccccc2C(=O)c2ccccc21,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d460>,88GSH,FDA
O=C(Nc1ccccn1)c1ccc2[nH]c(CNc3ccccc3)nc2c1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d4d0>,4AT1M,FDA
N=c1ccn(C2CSCO2)c(=O)[nH]1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d540>,0RTHD,FDA
c1ccc(CNc2ccccn2)cc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d5b0>,MWQ8Z,FDA
N=c1[nH]ncs1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d620>,IMBYG,FDA
c1ccc(N=c2nc(-c3c[nH]c4ccccc34)cc[nH]2)cc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d690>,PI8ST,FDA
c1ccc(N=c2cc[nH]c3ccccc23)cc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d700>,HSDJG,FDA
N=c1[nH]c2c(c(=O)[nH]1)NC(CNc1ccccc1)CN2,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d770>,8QGL4,FDA
c1ccc(N=Nc2ccccc2)cc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d7e0>,O6BO8,FDA
c1ccc(Cn2ncc3ccccc32)cc1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d850>,A9S1D,FDA
O=C1Nc2ccccc2C(c2ccccc2)NC1=O,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d8c0>,SAZWM,FDA
O=C1CCCC(CCC2CC=CC3=CCCCC32)O1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d930>,YFW0E,FDA
O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2d9a0>,8Q6BL,FDA
O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,2,0.08605851979345956,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2da10>,5ZR78,FDA
