ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,FRACROTBOND,CHIRALCENTERS,FORMALCHARGE
FDB022706,CN(C)CCCN1c2ccccc2CCc2ccccc21,FooDB commercially available,2,0,3.875000000000002,6.48,280.415,0.3684210526315789,21,3,2,4,0,1,2,0,2,0,12,0,0,0,0,0,2,0,0.17391305,0,0
FDB001371,CCC(=O)OCc1ccccc1,FooDB commercially available,2,0,2.1398,26.3,164.204,0.3,12,1,2,3,0,0,1,0,1,0,6,0,0,0,0,0,0,2,0.33333334,0,0
FDB001370,CCC(=O)OC,FooDB commercially available,2,0,0.5694,26.3,88.106,0.75,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.40000001,0,0
FDB001369,COC(C)OC,FooDB commercially available,2,0,0.6252,18.46,90.122,1.0,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.40000001,0,0
FDB029696,CCc1cccc(O)c1,FooDB commercially available,1,1,1.9546,20.23,122.16699999999996,0.25,9,1,1,1,0,0,1,0,1,0,6,0,0,0,0,0,0,1,0.11111111,0,0
FDB001368,COC(=O)CCc1ccccc1,FooDB commercially available,2,0,1.7921999999999998,26.3,164.204,0.3,12,1,2,3,0,0,1,0,1,0,6,0,0,0,0,0,0,2,0.33333334,0,0
FDB001367,CCCOC(=O)CC,FooDB commercially available,2,0,1.3496,26.3,116.15999999999998,0.8333333333333334,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5714286,0,0
FDB020370,CCc1ccco1,FooDB commercially available,1,0,1.842,13.14,96.12899999999998,0.3333333333333333,7,1,1,1,0,0,0,1,1,0,5,0,0,0,0,0,0,1,0.14285715,0,0
FDB001366,CCOC(=O)CC,FooDB commercially available,2,0,0.9595,26.3,102.133,0.8,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0
FDB001365,N#CCc1c[nH]c2ccccc12,FooDB commercially available,1,1,2.23398,39.58,156.188,0.1,12,2,2,1,0,0,1,1,2,0,9,0,0,0,0,0,2,0,0.15384616,0,0
FDB012331,O=C(O)Cc1ccccc1O,FooDB commercially available,2,2,1.0193,57.53,152.14899999999997,0.125,11,1,3,2,0,0,1,0,1,0,6,0,0,0,0,0,0,3,0.18181819,0,0
FDB007029,C=CC(C)=O,FooDB commercially available,1,0,0.7614,17.07,70.091,0.25,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0,0
FDB001363,CCC(=O)OC(C)C,FooDB commercially available,2,0,1.348,26.3,116.15999999999998,0.8333333333333334,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.42857143,0,0
FDB030353,CSCCC(=O)C(=O)O,FooDB commercially available,3,1,0.3931999999999999,54.370000000000005,148.183,0.6,9,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0,0
FDB022720,Nc1ccc(C(=O)NCC(=O)O)cc1,FooDB commercially available,3,3,0.0831999999999996,92.42,194.19000000000003,0.1111111111111111,14,1,5,3,0,0,1,0,1,0,6,0,0,0,0,0,2,3,0.2857143,0,0
FDB018128,CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,FooDB commercially available,5,3,4.881100000000007,86.99000000000001,338.444,0.631578947368421,24,1,5,12,0,0,1,0,1,0,6,0,0,0,0,0,0,5,0.54166669,0,0
FDB005815,Cc1ccc(C)c(C)c1,FooDB commercially available,0,0,2.611860000000001,0.0,120.195,0.3333333333333333,9,1,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0.0,0,0
FDB022729,NCCCCCC(=O)O,FooDB commercially available,2,2,0.5901000000000001,63.32000000000001,131.175,0.8333333333333334,9,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.625,0,0
FDB016607,Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,FooDB commercially available,1,0,8.053900000000002,9.23,643.587,0.0,19,2,7,2,0,0,2,0,2,0,12,0,6,0,0,0,0,1,0.1,0,0
FDB012404,CC(C)=CCc1c(O)ccc2ccc(=O)oc12,FooDB commercially available,3,1,3.0073000000000016,50.44,230.263,0.2142857142857142,17,2,3,2,0,0,1,1,2,0,6,0,0,0,0,0,0,3,0.11111111,0,0
FDB007044,C=CCCCO,FooDB commercially available,1,1,0.9449,20.23,86.13399999999999,0.6,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.60000002,0,0
FDB007043,CCCCCCCCCCCCCCCCCCCO,FooDB commercially available,1,1,6.630300000000008,20.23,284.5279999999999,1.0,20,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.89473683,0,0
FDB012400,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,FooDB commercially available,5,2,2.879800000000001,79.9,284.26700000000005,0.0625,21,3,5,2,0,0,2,1,3,0,12,0,0,0,0,0,0,5,0.086956523,0,0
FDB012398,CC(C)=CCc1c(O)ccc(-c2coc3cc(O)cc(O)c3c2=O)c1O,FooDB commercially available,6,4,3.7911000000000032,111.13,354.3580000000001,0.15,26,3,6,3,0,0,2,1,3,0,12,0,0,0,0,0,0,6,0.10714286,0,0
FDB022732,CC(C)(N)C(=O)O,FooDB commercially available,2,2,-0.1916999999999999,63.32000000000001,103.12099999999998,0.75,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.16666667,0,0
FDB029624,CCCCCCCCCCCCCCCC(=O)NC(CO)CO,FooDB commercially available,3,3,3.937100000000002,69.56,329.52500000000003,0.9473684210526316,23,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.81818181,0,0
FDB016606,Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,FooDB commercially available,1,0,8.053900000000002,9.23,643.587,0.0,19,2,7,2,0,0,2,0,2,0,12,0,6,0,0,0,0,1,0.1,0,0
FDB012394,C=CCc1ccc(OC(=O)CC(C)C)c(OC)c1,FooDB commercially available,3,0,3.375200000000002,35.53,248.32199999999995,0.4,18,1,3,6,0,0,1,0,1,0,6,0,0,0,0,0,0,3,0.3888889,0,0
FDB005819,Cc1ccccc1C,FooDB commercially available,0,0,2.30344,0.0,106.168,0.25,8,1,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0.0,0,0
FDB012393,C=CCc1ccc(OC(C)=O)c(OC)c1,FooDB commercially available,3,0,2.349,35.53,206.241,0.25,15,1,3,4,0,0,1,0,1,0,6,0,0,0,0,0,0,3,0.33333334,0,0
FDB005816,Cc1cccc(C)c1,FooDB commercially available,0,0,2.30344,0.0,106.168,0.25,8,1,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0.0,0,0
FDB001267,CCCCCCOC(C)=O,FooDB commercially available,2,0,2.1298000000000004,26.3,144.21399999999997,0.875,10,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.66666669,0,0
FDB022726,COc1ccc2[nH]cc(CCO)c2c1,FooDB commercially available,2,2,1.7112999999999998,45.25,191.23,0.2727272727272727,14,2,3,3,0,0,1,1,2,0,9,0,0,0,0,0,1,2,0.2,0,0
FDB001404,O=C(O)CCCc1c[nH]c2ccccc12,FooDB commercially available,1,2,2.5752000000000006,53.09,203.241,0.25,15,2,3,4,0,0,1,1,2,0,9,0,0,0,0,0,1,2,0.25,0,0
FDB001403,O=C(O)Cc1c[nH]c2ccc(O)cc12,FooDB commercially available,2,3,1.5006,73.32,191.186,0.1,14,2,4,2,0,0,1,1,2,0,9,0,0,0,0,0,1,3,0.13333334,0,0
FDB027562,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC,FooDB commercially available,6,0,15.648299999999962,78.9,779.2849999999996,0.9387755102040816,55,0,6,45,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.8888889,0,0
