SCAFFOLD,AMOUNT,FREQUENCY,SCA_MOL,ID_SCAFFOLD,DATABASE
O=c1cccccc1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50740>,DPGW6,FooDB purchasable
c1ccc2ocnc2c1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b507b0>,GY9IX,FooDB purchasable
c1ccc(-[n+]2ccccc2)cc1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50820>,9MGQS,FooDB purchasable
c1ncc2[nH]cnc2n1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50890>,68O8H,FooDB purchasable
O=c1cccc[nH]1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50900>,RG6XB,FooDB purchasable
c1ncc2c(n1)CSC2,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50970>,64P3Y,FooDB purchasable
c1cc(-c2cc[nH+]cc2)cc[nH+]1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b509e0>,MZAUO,FooDB purchasable
S=c1ccss1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50a50>,JVIFD,FooDB purchasable
c1coc(-c2nccc3c2[nH]c2ccccc23)c1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50ac0>,FT3WM,FooDB purchasable
c1c2c(cc3c1OCO3)CNCC2,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50b30>,NUEZI,FooDB purchasable
O=c1ccss1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50ba0>,EMA86,FooDB purchasable
O=c1cncc[nH]1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50c10>,1M5ED,FooDB purchasable
c1coc(Cn2cccc2)c1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50c80>,RY8PD,FooDB purchasable
O=c1oc2cc3c(cc2cc1-c1ccccc1)CCCO3,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50cf0>,5JQDD,FooDB purchasable
O=c1ccn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50d60>,MKYA3,FooDB purchasable
c1coc(Cc2ccco2)c1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50dd0>,2V7NM,FooDB purchasable
c1coc(CSCc2ccco2)c1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50e40>,7GEPD,FooDB purchasable
O=c1oc2ccccc2c2oc3cc4c(cc3c12)OCO4,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50eb0>,B19ZB,FooDB purchasable
c1coc(COCc2ccco2)c1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50f20>,TZ1JV,FooDB purchasable
c1ccc(-c2ccc3ccccc3[o+]2)cc1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b50f90>,2MHT7,FooDB purchasable
c1coc(C2=NCCCC2)c1,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b51000>,J3CJU,FooDB purchasable
O=c1occc2cc3occc3cc12,1,0.041288191577208914,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b51070>,ZTGCD,FooDB purchasable
